msg;category
Guten Tag!;greeting
Einen schönen guten Tag!;greeting
Guten Tag;greeting
Ein herzliches guten Tag!;greeting
guten Tag!;greeting
Guten Abend!;greeting
guten Abend!;greeting
Einen angenehmen guten Abend.;greeting
Einen schönen guten Tag!;greeting
schönen Abend!;greeting
moinn;greeting
Morgen;greeting
hello;greeting
Moin;greeting
Hallöchen;greeting
Haaallloooo;greeting
Hallo;greeting
Guten Moooorgen;greeting
Wuuhuuuuuuu;greeting
Moin Moin!;greeting
hi;greeting
hej;greeting
hey;greeting
good Morning;greeting
good Evening;greeting
wuhuu <3;greeting
hiii;greeting
Hey;greeting
good day;greeting
tag;greeting
Was ist eine Künstliche Inteligenz? ;search
Alternativen Raspberry Pi 4;search
Was bedeutet… ?;search
What does … mean;search
What is XY;search
Was ist X?;search
Wo ist der Unterschied zwischen A und B?;search
Where is the difference between C and D;search
Kannst du mir den Unterschied zwischen X Z und Y sagen?;search
Wie wird sich das Wetter heute in meiner Stadt entwickeln?;search
Wie kann ich ein bestimmtes Gericht kochen?;search
Wie finde ich einen Job der zu mir passt?;search
What are some effective study techniques for exams?;search
How can I enhance my creativity and come up with new ideas?;search
How can I prepare for a job interview?;search
Wie kann ich ein Unternehmen gründen?;search
Wie kann ich besser schlafen?;search
Wie kann ich meine Zeit effektiver nutzen?;search
How can I make my website more SEO-friendly?;search
How can I learn a new programming language?;search
Welche Programmiersprache empfiehlt sich für das und das, wenn ich das und das machen will?;search
Wie stehen meine Chancen XY zu erreichen?;search
Was benutzte ich Pacman?;search
How do I use apt on Debian 11;search
Kannst du mir sagen, wie ich XY mache?;search
Can you tell me howe I can Z?;search
Hi, kannst du mir helfen … zu machen?;search
Hey can you help me to do …;search
Suche…;search
Search…;search
Was denkst du zu?;question
What do you think about XY…;question
Wie findest du meine Idee: …?;question
Wie geht es dir?;question
How are you?;question
What about you?;question
Was denkst du?;question
Wie fühlst du?;question
Was bist du?;question
What are you?;question
Kannst du sprechen?;question
Can you speak?;question
Verstehtst du?;question
Do You understand;question
Was hältst du von…;question
Magst du XYZ?;question
Was kannst du?;question
Wie funktionierst du?;question
What is your opinion on the future of AI?;question
Do you think AI will ever surpass human intelligence?;question
Was ist deine Meinung zur Zukunft von KI?;question
Wie denkst du, wird KI den Arbeitsmarkt in Zukunft verändern?;question
How do you think AI will change the job market in the future?;question
How do you feel about the use of AI in healthcare?;question
What is your opinion on the ethical implications of artificial intelligence?;question
Do you believe that AI can ever truly replicate human creativity?;question
Wie ist deine Meinung zu den ethischen Implikationen von künstlicher Intelligenz?;question
Welches sind deiner Meinung nach die größten Herausforderungen im Bereich des maschinellen Lernens?;question
Wie stehst du zur Debatte um KI, die menschliche Arbeitskräfte ersetzt;question
Glaubst du, dass KI jemals menschliche Kreativität wirklich replizieren kann;question
Mir geht es gut;undefiend
I'm good;undefiend
Das stimmt nicht;undefiend
That is wrong;undefiend
I'm having trouble navigating a difficult conversation with a close friend.;undefiend
KI ist gefährlich.;undefiend
Ich habe Schwierigkeiten, ein schwieriges Gespräch mit einem engen Freund zu führen.;undefiend
Du bist dumm!;undefiend
WTF?!;undefiend
Oha!;undefiend
Ohh;undefiend
Ich wusste nicht das du sprechen kannst.;undefiend
Ich glaube, dass XY..;undefiend
Naja, das war jetzt schwach;undefiend
mhmmh, that was weak;undefiend
I didn't know, that …;undefiend
Du antwortest?;undefiend
c57846q3thfjk;undefiend
2364gtuzfiaehwkgj;undefiend
deine Meinung zu..;undefiend
aha;undefiend
danke;undefiend
Danke dir;undefiend
Thank you very much;undefiend
Thank you;undefiend
Cool, thank you;undefiend
Ich danke dir;undefiend
Gracias;undefiend
Sag mal XA7rzt54ui;undefiend
Danke;undefiend
